cs001	1	1	0	-0.053	-0.277500531	0
cs002	1	0	1	0.369	0	0.125999663
cs004	1	0	0	1.300	0	0
cs005	1	0	0	4.098	0	0
cs006	1	0	1	2.672	0	0.086143825
cs007	1	1	0	-0.011	0.499753245	0
cs008	1	0	1	1.087	0	0.04421102
cs009	1	1	0	-2.221	-0.079397294	0
cs010	1	0	1	0.032	0	-0.111621445
cs011	1	1	0	-0.709	-0.120707019	0
cs012	1	0	1	-1.734	0	-0.321734541
cs013	1	1	0	1.812	1.038015528	0
cs014	1	0	1	-2.625	0	-0.021503448
cs015	1	1	0	-0.727	-0.041047607	0
cs017	1	0	1	2.487	0	0.119577125
cs018	1	1	0	-2.880	-0.779621516	0
cs019	1	0	1	-0.095	0	-0.086921065
cs020	1	0	0	-1.106	0	0
cs021	1	1	0	1.272	0.365480295	0
cs022	1	0	1	2.762	0	0.521731356
cs026	1	1	0	-1.478	-0.076541382	0
cs027	1	1	0	0.718	-0.197439279	0
cs028	1	0	0	0.341	0	0
cs030	1	1	0	-2.457	0.004226512	0
cs032	1	0	1	-2.387	0	-0.657031107
cs033	1	0	1	-0.092	0	-0.314401631
cs034	1	1	0	-0.527	0.217045629	0
cs035	1	0	1	1.147	0	-0.624383435
cs037	1	0	1	-0.619	0	0.342150587
cs038	1	0	0	0.570	0	0
cs039	1	0	0	0.607	0	0
cs040	1	0	0	-2.590	0	0
cs041	1	0	0	0.645	0	0
cs042	1	0	1	0.857	0	-0.748702491
cs043	1	0	0	3.079	0	0
cs044	1	1	0	0.206	-0.301018033	0
cs045	1	1	0	-2.318	-0.144779943	0
cs046	1	0	1	4.203	0	0.727127917
cs048	1	1	0	-3.132	0.425096927	0
cs049	1	0	1	-1.010	0	-0.638505374
cs051	1	0	0	0.615	0	0
cs052	1	1	0	-0.160	0.229290796	0
cs053	1	0	0	-2.572	0	0
cs054	1	0	1	2.757	0	0.850753854
cs055	1	1	0	0.850	-0.416633135	0
cs056	1	0	1	2.289	0	-0.239454552
cs057	1	0	0	-2.104	0	0
cs058	1	0	0	1.071	0	0
cs059	1	0	1	2.922	0	0.591389965
cs060	1	0	0	3.393	0	0
cs061	1	0	0	0.835	0	0
cs062	1	1	0	-1.098	0.155531241	0
cs063	1	1	0	-0.494	-0.201541343	0
cs064	1	1	0	-0.159	-0.075736347	0
cs065	1	1	0	0.008	0.383737474	0
cs066	1	1	0	0.839	-0.020419171	0
cs068	1	1	0	-0.340	-0.728834829	0
cs069	1	1	0	-0.540	0.009039569	0
cs071	1	1	0	0.293	-0.207116077	0
cs072	1	0	0	2.998	0	0
cs073	1	1	0	-2.017	-0.143332981	0
cs075	1	0	0	-1.271	0	0
cs076	1	0	0	-0.887	0	0
cs077	1	1	0	-1.975	-0.064959332	0
cs078	1	0	0	-3.855	0	0
cs079	1	1	0	0.074	0.62319881	0
cs080	1	0	1	1.796	0	0.078171663
cs081	1	0	1	-0.238	0	-0.707734269
cs082	1	0	1	0.858	0	0.131147248
cs083	1	1	0	3.003	0.375015963	0
cs084	1	1	0	-2.178	0.26297812	0
cs085	1	1	0	3.311	1.519056732	0
cs087	1	1	0	0.134	-0.000358217	0
cs088	1	0	0	-0.706	0	0
cs089	1	0	0	-1.698	0	0
cs090	1	0	1	3.558	0	0.049181985
cs092	1	0	0	2.888	0	0
cs093	1	0	1	3.199	0	0.452450678
cs094	1	1	0	1.583	0.045171651	0
cs095	1	0	1	1.272	0	-0.062916776
cs096	1	1	0	1.720	0.198733038	0
cs097	1	0	1	-1.580	0	-0.628802404
cs098	1	1	0	0.256	1.029028248	0
cs099	1	0	1	3.951	0	1.020017571
cs100	1	0	1	0.042	0	-0.004738767
cs101	1	0	0	0.468	0	0
cs102	1	0	1	0.148	0	-0.364775107
cs103	1	1	0	-2.070	0.048554852	0
cs104	1	0	0	0.855	0	0
cs105	1	1	0	1.083	0.705949734	0
cs106	1	1	0	0.344	0.612902439	0
cs107	1	1	0	-1.742	0.072079969	0
cs108	1	0	1	-1.480	0	-0.206650671
cs109	1	0	1	-2.713	0	-0.382273508
cs110	1	0	1	-1.458	0	-0.318735203
cs111	1	0	1	-5.833	0	-2.331278492
cs112	1	0	1	0.413	0	2.360608734
cs113	1	1	0	2.651	-0.174427909	0
cs114	1	1	0	-1.721	3.321329183	0
cs115	1	1	0	-2.112	0.045018087	0
cs116	1	0	0	-0.006	0	0
cs117	1	0	1	-1.989	0	-0.286506225
cs118	1	0	0	0.798	0	0
cs119	1	0	0	-0.583	0	0
cs120	1	0	0	0.857	0	0
cs121	1	0	1	1.471	0	0.795194006
cs122	1	0	1	-0.959	0	-0.238389532
cs123	1	0	1	-0.911	0	-0.596990326
cs124	1	1	0	-1.933	-0.098023309	0
cs125	1	0	1	-0.586	0	-2.877209098
cs126	1	0	1	-0.263	0	-0.362291249
cs127	1	1	0	-1.245	0.41521083	0
cs128	1	1	0	-0.449	0.26067994	0
cs130	1	1	0	-1.597	-0.202448692	0
cs131	1	0	1	-3.135	0	-0.780647442
cs132	1	1	0	0.561	-0.002433629	0
cs133	1	0	1	-1.676	0	-0.37080881
cs136	1	0	0	3.025	0	0
cs137	1	0	1	-0.031	0	-0.330896861
cs138	1	1	0	1.802	-0.70117333	0
cs139	1	0	1	0.813	0	0.081189368
cs142	1	1	0	-2.293	0.028337017	0
cs143	1	0	0	1.566	0	0
cs144	1	0	1	-2.308	0	-0.324226995
cs145	1	1	0	-3.123	-0.424155098	0
cs146	1	0	0	0.840	0	0
cs147	1	0	1	0.436	0	0.013909043
cs150	1	0	1	1.613	0	0.567611253
cs151	1	0	1	-2.148	0	-0.413351377
cs152	1	0	1	-1.453	0	-0.03684851
cs153	1	0	1	1.722	0	0.091245597
cs154	1	0	1	0.237	0	-0.33536325
