cs133	1	-52.04	-1.676	-0.37	19.298
cs136	1	167.23	3.025	-0.06	-10.859
cs137	1	-269.03	-0.031	-0.33	89.021
cs138	1	-134.14	1.802	-0.70	94.055
cs139	1	48.92	0.813	0.08	3.971
cs142	1	292.68	-2.293	0.03	8.294
cs143	1	-65.89	1.566	-0.09	6.007
cs144	1	-88.72	-2.308	-0.32	28.765
cs145	1	-118.54	-3.123	-0.42	50.278
cs146	1	216.50	0.840	0.03	7.144
cs147	1	239.36	0.436	0.01	3.329
cs150	1	-318.59	1.613	0.57	-180.835
cs151	1	70.46	-2.148	-0.41	-29.123
cs152	1	-212.95	-1.453	-0.04	7.847
cs153	1	-76.40	1.722	0.09	-6.971
cs154	1	9.14	0.237	-0.34	-3.064
