cs133	1	-284.65	-1.676	-0.37	105.55
cs136	1	232.26	3.025	-0.06	-15.08
cs137	1	-21.19	-0.031	-0.33	7.01
cs138	1	60.25	1.802	-0.70	-42.25
cs139	1	302.71	0.813	0.08	24.58
cs142	1	-24.43	-2.293	0.03	-0.69
cs143	1	42.38	1.566	-0.09	-3.86
cs144	1	101.44	-2.308	-0.32	-32.89
cs145	1	194.47	-3.123	-0.42	-82.49
cs146	1	245.49	0.840	0.03	8.10
cs147	1	95.34	0.436	0.01	1.33
cs150	1	-4.70	1.613	0.57	-2.67
cs151	1	-274.38	-2.148	-0.41	113.41
cs152	1	8.84	-1.453	-0.04	-0.33
cs153	1	59.62	1.722	0.09	5.44
cs154	1	-284.52	0.237	-0.34	95.42
